battery,100% Charging:false,Fri May 05 12:48:39 EDT 2017,100% Charging:false,13:00
battery,95% Charging:false,Fri May 05 13:29:55 EDT 2017,100% Charging:false,13:00
battery,85% Charging:false,Fri May 05 15:19:56 EDT 2017,90% Charging:false,15:00
battery,85% Charging:false,Fri May 05 15:35:58 EDT 2017,90% Charging:false,16:00
battery,80% Charging:false,Fri May 05 16:29:56 EDT 2017,80% Charging:false,16:00
battery,75% Charging:false,Fri May 05 17:29:56 EDT 2017,80% Charging:false,17:00
battery,70% Charging:false,Fri May 05 18:39:56 EDT 2017,70% Charging:false,19:00
battery,65% Charging:false,Fri May 05 19:29:56 EDT 2017,70% Charging:false,19:00
battery,60% Charging:false,Fri May 05 20:29:56 EDT 2017,60% Charging:false,20:00
battery,55% Charging:false,Fri May 05 20:59:56 EDT 2017,60% Charging:false,21:00
battery,50% Charging:false,Fri May 05 21:59:55 EDT 2017,50% Charging:false,22:00
battery,50% Charging:true,Fri May 05 22:29:21 EDT 2017,50% Charging:true,22:00
battery,55% Charging:true,Fri May 05 22:35:21 EDT 2017,60% Charging:true,23:00
battery,60% Charging:true,Fri May 05 22:41:21 EDT 2017,60% Charging:true,23:00
battery,65% Charging:true,Fri May 05 22:47:21 EDT 2017,70% Charging:true,23:00
battery,70% Charging:true,Fri May 05 22:53:21 EDT 2017,70% Charging:true,23:00
battery,75% Charging:true,Fri May 05 22:59:21 EDT 2017,80% Charging:true,23:00
battery,80% Charging:true,Fri May 05 23:05:21 EDT 2017,80% Charging:true,23:00
battery,85% Charging:true,Fri May 05 23:13:21 EDT 2017,90% Charging:true,23:00
battery,90% Charging:true,Fri May 05 23:26:21 EDT 2017,90% Charging:true,23:00
battery,100% Charging:true,Fri May 05 23:47:01 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Fri May 05 23:57:21 EDT 2017,100% Charging:true,0:00
