battery,100% Charging:true,Sun Jun 11 12:14:56 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Jun 11 12:25:55 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Sun Jun 11 12:35:56 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Jun 11 12:46:55 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Jun 11 12:56:56 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Jun 11 13:07:09 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Jun 11 13:17:55 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Jun 11 13:27:56 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Jun 11 13:37:56 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Jun 11 13:47:56 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Jun 11 13:57:56 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Jun 11 14:07:56 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Jun 11 14:17:56 EDT 2017,100% Charging:true,14:00
battery,100% Charging:false,Sun Jun 11 14:32:45 EDT 2017,100% Charging:false,15:00
battery,95% Charging:false,Sun Jun 11 14:57:35 EDT 2017,100% Charging:false,15:00
battery,90% Charging:false,Sun Jun 11 15:47:26 EDT 2017,90% Charging:false,16:00
battery,85% Charging:false,Sun Jun 11 16:26:21 EDT 2017,90% Charging:false,16:00
battery,80% Charging:false,Sun Jun 11 17:15:13 EDT 2017,80% Charging:false,17:00
battery,75% Charging:false,Sun Jun 11 17:58:24 EDT 2017,80% Charging:false,18:00
battery,65% Charging:false,Sun Jun 11 18:47:30 EDT 2017,70% Charging:false,19:00
battery,60% Charging:false,Sun Jun 11 19:18:36 EDT 2017,60% Charging:false,19:00
battery,55% Charging:false,Sun Jun 11 19:47:39 EDT 2017,60% Charging:false,20:00
battery,55% Charging:true,Sun Jun 11 19:53:12 EDT 2017,60% Charging:true,20:00
battery,65% Charging:true,Sun Jun 11 20:04:39 EDT 2017,70% Charging:true,20:00
battery,70% Charging:true,Sun Jun 11 20:11:54 EDT 2017,70% Charging:true,20:00
battery,75% Charging:true,Sun Jun 11 20:17:39 EDT 2017,80% Charging:true,20:00
battery,80% Charging:true,Sun Jun 11 20:23:43 EDT 2017,80% Charging:true,20:00
battery,85% Charging:true,Sun Jun 11 20:30:47 EDT 2017,90% Charging:true,20:00
battery,90% Charging:true,Sun Jun 11 20:40:02 EDT 2017,90% Charging:true,21:00
battery,95% Charging:true,Sun Jun 11 20:58:39 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Jun 11 21:00:39 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Jun 11 21:10:44 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Jun 11 21:20:45 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Jun 11 21:31:39 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Jun 11 21:41:43 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Jun 11 21:52:33 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Jun 11 22:03:29 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Jun 11 22:12:35 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Jun 11 22:23:40 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Jun 11 22:34:30 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Jun 11 22:44:09 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Jun 11 22:54:46 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Jun 11 23:06:40 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Jun 11 23:15:55 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Jun 11 23:26:40 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Jun 11 23:37:55 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Sun Jun 11 23:50:01 EDT 2017,100% Charging:true,0:00
