battery,100% Charging:true,Thu Apr 13 12:02:19 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Thu Apr 13 12:13:19 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Thu Apr 13 12:23:19 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Thu Apr 13 12:34:46 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Thu Apr 13 12:44:19 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Thu Apr 13 12:55:19 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Thu Apr 13 13:05:25 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Thu Apr 13 13:16:46 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Thu Apr 13 13:26:19 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Thu Apr 13 13:37:20 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Thu Apr 13 13:48:38 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Thu Apr 13 13:58:19 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Thu Apr 13 14:09:04 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Thu Apr 13 14:19:18 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Thu Apr 13 14:30:18 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Thu Apr 13 14:40:18 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Thu Apr 13 14:50:18 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Thu Apr 13 15:01:17 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Thu Apr 13 15:11:18 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Thu Apr 13 15:22:16 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Thu Apr 13 15:32:17 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Thu Apr 13 15:43:35 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Thu Apr 13 15:53:18 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Thu Apr 13 16:03:19 EDT 2017,100% Charging:true,16:00
battery,100% Charging:false,Thu Apr 13 16:16:13 EDT 2017,100% Charging:false,16:00
battery,100% Charging:false,Thu Apr 13 16:29:05 EDT 2017,100% Charging:false,16:00
battery,95% Charging:false,Thu Apr 13 16:42:08 EDT 2017,100% Charging:false,17:00
battery,90% Charging:false,Thu Apr 13 17:09:23 EDT 2017,90% Charging:false,17:00
battery,85% Charging:false,Thu Apr 13 18:06:01 EDT 2017,90% Charging:false,18:00
battery,80% Charging:false,Thu Apr 13 18:59:35 EDT 2017,80% Charging:false,19:00
battery,75% Charging:false,Thu Apr 13 19:52:27 EDT 2017,80% Charging:false,20:00
battery,70% Charging:false,Thu Apr 13 20:26:13 EDT 2017,70% Charging:false,20:00
battery,65% Charging:false,Thu Apr 13 21:19:23 EDT 2017,70% Charging:false,21:00
battery,60% Charging:false,Thu Apr 13 22:09:35 EDT 2017,60% Charging:false,22:00
battery,60% Charging:true,Thu Apr 13 22:41:13 EDT 2017,60% Charging:true,23:00
battery,65% Charging:true,Thu Apr 13 22:48:12 EDT 2017,70% Charging:true,23:00
battery,70% Charging:true,Thu Apr 13 22:54:12 EDT 2017,70% Charging:true,23:00
battery,75% Charging:true,Thu Apr 13 23:00:12 EDT 2017,80% Charging:true,23:00
battery,80% Charging:true,Thu Apr 13 23:07:13 EDT 2017,80% Charging:true,23:00
battery,85% Charging:true,Thu Apr 13 23:14:12 EDT 2017,90% Charging:true,23:00
battery,90% Charging:true,Thu Apr 13 23:25:13 EDT 2017,90% Charging:true,23:00
battery,95% Charging:true,Thu Apr 13 23:47:13 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Thu Apr 13 23:50:14 EDT 2017,100% Charging:true,0:00
