battery,100% Charging:true,Mon May 15 12:49:12 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Mon May 15 13:00:13 EDT 2017,100% Charging:true,13:00
battery,100% Charging:false,Mon May 15 13:11:06 EDT 2017,100% Charging:false,13:00
battery,100% Charging:false,Mon May 15 13:22:49 EDT 2017,100% Charging:false,13:00
battery,95% Charging:false,Mon May 15 13:51:08 EDT 2017,100% Charging:false,14:00
battery,90% Charging:false,Mon May 15 15:11:08 EDT 2017,90% Charging:false,15:00
battery,90% Charging:false,Mon May 15 15:28:47 EDT 2017,90% Charging:false,15:00
battery,85% Charging:false,Mon May 15 16:21:08 EDT 2017,90% Charging:false,16:00
battery,80% Charging:false,Mon May 15 17:10:34 EDT 2017,80% Charging:false,17:00
battery,75% Charging:false,Mon May 15 17:51:08 EDT 2017,80% Charging:false,18:00
battery,70% Charging:false,Mon May 15 18:31:50 EDT 2017,70% Charging:false,19:00
battery,65% Charging:false,Mon May 15 19:31:08 EDT 2017,70% Charging:false,20:00
battery,65% Charging:false,Mon May 15 19:41:50 EDT 2017,70% Charging:false,20:00
battery,60% Charging:false,Mon May 15 20:31:06 EDT 2017,60% Charging:false,21:00
battery,60% Charging:false,Mon May 15 20:41:08 EDT 2017,60% Charging:false,21:00
battery,55% Charging:false,Mon May 15 21:21:41 EDT 2017,60% Charging:false,21:00
battery,50% Charging:false,Mon May 15 22:11:08 EDT 2017,50% Charging:false,22:00
battery,45% Charging:false,Mon May 15 23:21:50 EDT 2017,50% Charging:false,23:00
battery,45% Charging:false,Mon May 15 23:31:10 EDT 2017,50% Charging:false,0:00
