battery,70% Charging:false,Fri Jan 06 17:46:16 EST 2017,70% Charging:false,18:00
battery,65% Charging:false,Fri Jan 06 18:45:01 EST 2017,70% Charging:false,19:00
battery,65% Charging:false,Fri Jan 06 18:56:16 EST 2017,70% Charging:false,19:00
battery,60% Charging:false,Fri Jan 06 20:04:20 EST 2017,60% Charging:false,20:00
battery,60% Charging:false,Fri Jan 06 20:16:16 EST 2017,60% Charging:false,20:00
battery,55% Charging:false,Fri Jan 06 21:24:20 EST 2017,60% Charging:false,21:00
battery,55% Charging:false,Fri Jan 06 21:42:06 EST 2017,60% Charging:false,22:00
battery,50% Charging:false,Fri Jan 06 22:34:20 EST 2017,50% Charging:false,23:00
battery,45% Charging:false,Fri Jan 06 23:24:20 EST 2017,50% Charging:false,23:00
battery,45% Charging:false,Fri Jan 06 23:36:16 EST 2017,50% Charging:false,0:00
