battery,80% Charging:false,Fri Dec 23 15:12:14 EST 2016,80% Charging:false,15:00
battery,80% Charging:false,Fri Dec 23 15:24:48 EST 2016,80% Charging:false,15:00
battery,75% Charging:false,Fri Dec 23 15:49:38 EST 2016,80% Charging:false,16:00
battery,70% Charging:false,Fri Dec 23 16:14:20 EST 2016,70% Charging:false,16:00
battery,70% Charging:false,Fri Dec 23 16:25:42 EST 2016,70% Charging:false,16:00
battery,65% Charging:false,Fri Dec 23 16:46:41 EST 2016,70% Charging:false,17:00
battery,55% Charging:false,Fri Dec 23 17:42:51 EST 2016,60% Charging:false,18:00
battery,50% Charging:false,Fri Dec 23 17:48:40 EST 2016,50% Charging:false,18:00
battery,40% Charging:false,Fri Dec 23 18:19:41 EST 2016,40% Charging:false,18:00
battery,35% Charging:false,Fri Dec 23 18:48:59 EST 2016,40% Charging:false,19:00
battery,30% Charging:false,Fri Dec 23 19:36:40 EST 2016,30% Charging:false,20:00
battery,25% Charging:false,Fri Dec 23 20:06:54 EST 2016,30% Charging:false,20:00
battery,20% Charging:false,Fri Dec 23 20:58:00 EST 2016,20% Charging:false,21:00
battery,10% Charging:false,Fri Dec 23 22:06:41 EST 2016,10% Charging:false,22:00
