battery,100% Charging:true,Sat Jan 14 12:09:55 EST 2017,100% Charging:true,12:00
battery,100% Charging:false,Sat Jan 14 12:28:13 EST 2017,100% Charging:false,12:00
battery,100% Charging:false,Sat Jan 14 12:38:13 EST 2017,100% Charging:false,13:00
battery,95% Charging:false,Sat Jan 14 13:08:13 EST 2017,100% Charging:false,13:00
battery,95% Charging:false,Sat Jan 14 13:25:03 EST 2017,100% Charging:false,13:00
battery,90% Charging:false,Sat Jan 14 14:28:13 EST 2017,90% Charging:false,14:00
battery,85% Charging:false,Sat Jan 14 15:18:13 EST 2017,90% Charging:false,15:00
battery,80% Charging:false,Sat Jan 14 16:18:14 EST 2017,80% Charging:false,16:00
battery,75% Charging:false,Sat Jan 14 17:08:58 EST 2017,80% Charging:false,17:00
battery,70% Charging:false,Sat Jan 14 18:18:15 EST 2017,70% Charging:false,18:00
battery,65% Charging:false,Sat Jan 14 19:26:43 EST 2017,70% Charging:false,19:00
battery,60% Charging:false,Sat Jan 14 20:28:13 EST 2017,60% Charging:false,20:00
battery,55% Charging:false,Sat Jan 14 21:18:13 EST 2017,60% Charging:false,21:00
battery,55% Charging:false,Sat Jan 14 21:28:13 EST 2017,60% Charging:false,21:00
battery,50% Charging:false,Sat Jan 14 22:28:13 EST 2017,50% Charging:false,22:00
battery,50% Charging:false,Sat Jan 14 22:38:14 EST 2017,50% Charging:false,23:00
battery,45% Charging:false,Sat Jan 14 23:48:13 EST 2017,50% Charging:false,0:00
