battery,100% Charging:true,Tue Nov 01 12:14:31 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Nov 01 12:25:31 EDT 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Nov 01 12:35:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 12:46:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 12:57:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 13:08:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 13:18:31 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 13:28:48 EDT 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Nov 01 13:39:30 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 13:51:31 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 13:59:31 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 14:11:01 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 14:20:31 EDT 2016,100% Charging:true,14:00
battery,100% Charging:true,Tue Nov 01 14:31:31 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 14:41:31 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 14:52:31 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 15:02:16 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 15:12:05 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 15:22:31 EDT 2016,100% Charging:true,15:00
battery,100% Charging:true,Tue Nov 01 15:33:01 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 15:42:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 15:52:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 16:02:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 16:12:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 16:22:31 EDT 2016,100% Charging:true,16:00
battery,100% Charging:true,Tue Nov 01 16:33:31 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Tue Nov 01 16:43:31 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Tue Nov 01 16:53:31 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Tue Nov 01 17:04:31 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Tue Nov 01 17:14:31 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Tue Nov 01 17:24:31 EDT 2016,100% Charging:true,17:00
battery,100% Charging:true,Tue Nov 01 17:34:31 EDT 2016,100% Charging:true,18:00
battery,100% Charging:true,Tue Nov 01 17:44:56 EDT 2016,100% Charging:true,18:00
battery,100% Charging:true,Tue Nov 01 17:54:49 EDT 2016,100% Charging:true,18:00
battery,100% Charging:true,Tue Nov 01 18:05:30 EDT 2016,100% Charging:true,18:00
battery,100% Charging:true,Tue Nov 01 18:15:31 EDT 2016,100% Charging:true,18:00
battery,100% Charging:true,Tue Nov 01 18:25:31 EDT 2016,100% Charging:true,18:00
battery,100% Charging:true,Tue Nov 01 18:36:01 EDT 2016,100% Charging:true,19:00
battery,100% Charging:true,Tue Nov 01 18:47:31 EDT 2016,100% Charging:true,19:00
battery,100% Charging:true,Tue Nov 01 18:57:31 EDT 2016,100% Charging:true,19:00
battery,100% Charging:true,Tue Nov 01 19:07:31 EDT 2016,100% Charging:true,19:00
battery,100% Charging:true,Tue Nov 01 19:17:31 EDT 2016,100% Charging:true,19:00
battery,100% Charging:true,Tue Nov 01 19:27:31 EDT 2016,100% Charging:true,19:00
battery,100% Charging:true,Tue Nov 01 19:37:31 EDT 2016,100% Charging:true,20:00
battery,100% Charging:true,Tue Nov 01 19:47:31 EDT 2016,100% Charging:true,20:00
battery,100% Charging:true,Tue Nov 01 19:58:31 EDT 2016,100% Charging:true,20:00
battery,100% Charging:true,Tue Nov 01 20:08:31 EDT 2016,100% Charging:true,20:00
battery,100% Charging:true,Tue Nov 01 20:19:30 EDT 2016,100% Charging:true,20:00
battery,100% Charging:true,Tue Nov 01 20:29:31 EDT 2016,100% Charging:true,20:00
battery,100% Charging:true,Tue Nov 01 20:40:01 EDT 2016,100% Charging:true,21:00
battery,100% Charging:true,Tue Nov 01 20:50:31 EDT 2016,100% Charging:true,21:00
battery,100% Charging:true,Tue Nov 01 21:01:31 EDT 2016,100% Charging:true,21:00
battery,100% Charging:true,Tue Nov 01 21:11:31 EDT 2016,100% Charging:true,21:00
battery,100% Charging:true,Tue Nov 01 21:21:31 EDT 2016,100% Charging:true,21:00
battery,100% Charging:true,Tue Nov 01 21:31:31 EDT 2016,100% Charging:true,22:00
battery,100% Charging:true,Tue Nov 01 21:41:38 EDT 2016,100% Charging:true,22:00
battery,100% Charging:true,Tue Nov 01 21:52:31 EDT 2016,100% Charging:true,22:00
battery,100% Charging:true,Tue Nov 01 22:02:31 EDT 2016,100% Charging:true,22:00
battery,100% Charging:true,Tue Nov 01 22:13:31 EDT 2016,100% Charging:true,22:00
battery,100% Charging:true,Tue Nov 01 22:23:31 EDT 2016,100% Charging:true,22:00
battery,100% Charging:true,Tue Nov 01 22:33:31 EDT 2016,100% Charging:true,23:00
battery,100% Charging:true,Tue Nov 01 22:44:31 EDT 2016,100% Charging:true,23:00
battery,100% Charging:true,Tue Nov 01 22:54:31 EDT 2016,100% Charging:true,23:00
battery,100% Charging:true,Tue Nov 01 23:04:31 EDT 2016,100% Charging:true,23:00
battery,100% Charging:true,Tue Nov 01 23:14:31 EDT 2016,100% Charging:true,23:00
battery,100% Charging:true,Tue Nov 01 23:25:31 EDT 2016,100% Charging:true,23:00
battery,100% Charging:true,Tue Nov 01 23:35:31 EDT 2016,100% Charging:true,0:00
battery,100% Charging:true,Tue Nov 01 23:45:31 EDT 2016,100% Charging:true,0:00
battery,100% Charging:true,Tue Nov 01 23:55:31 EDT 2016,100% Charging:true,0:00
