battery,100% Charging:true,Sun May 07 13:28:37 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun May 07 13:38:39 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun May 07 13:48:56 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun May 07 13:58:51 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun May 07 14:09:01 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun May 07 14:20:01 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun May 07 14:28:38 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun May 07 14:38:57 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun May 07 14:50:23 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun May 07 14:59:58 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun May 07 15:10:18 EDT 2017,100% Charging:true,15:00
battery,100% Charging:false,Sun May 07 15:29:10 EDT 2017,100% Charging:false,15:00
battery,100% Charging:false,Sun May 07 15:48:39 EDT 2017,100% Charging:false,16:00
battery,95% Charging:false,Sun May 07 16:48:39 EDT 2017,100% Charging:false,17:00
battery,95% Charging:false,Sun May 07 16:59:10 EDT 2017,100% Charging:false,17:00
battery,90% Charging:false,Sun May 07 18:09:10 EDT 2017,90% Charging:false,18:00
battery,90% Charging:false,Sun May 07 18:18:34 EDT 2017,90% Charging:false,18:00
battery,85% Charging:false,Sun May 07 19:19:10 EDT 2017,90% Charging:false,19:00
battery,85% Charging:false,Sun May 07 19:29:10 EDT 2017,90% Charging:false,19:00
battery,80% Charging:false,Sun May 07 20:38:31 EDT 2017,80% Charging:false,21:00
battery,80% Charging:false,Sun May 07 20:51:13 EDT 2017,80% Charging:false,21:00
battery,75% Charging:false,Sun May 07 21:49:09 EDT 2017,80% Charging:false,22:00
battery,70% Charging:false,Sun May 07 22:28:14 EDT 2017,70% Charging:false,22:00
battery,65% Charging:false,Sun May 07 23:26:14 EDT 2017,70% Charging:false,23:00
battery,65% Charging:true,Sun May 07 23:52:23 EDT 2017,70% Charging:true,0:00
battery,70% Charging:true,Sun May 07 23:56:40 EDT 2017,70% Charging:true,0:00
