battery,100% Charging:true,Tue Dec 06 12:08:46 EST 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Dec 06 12:18:09 EST 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Dec 06 12:28:09 EST 2016,100% Charging:true,12:00
battery,100% Charging:true,Tue Dec 06 12:39:24 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Dec 06 12:48:40 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Dec 06 12:58:53 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Dec 06 13:09:09 EST 2016,100% Charging:true,13:00
battery,100% Charging:true,Tue Dec 06 13:20:09 EST 2016,100% Charging:true,13:00
battery,100% Charging:false,Tue Dec 06 13:37:44 EST 2016,100% Charging:false,14:00
battery,100% Charging:false,Tue Dec 06 13:48:40 EST 2016,100% Charging:false,14:00
battery,100% Charging:false,Tue Dec 06 13:58:56 EST 2016,100% Charging:false,14:00
battery,95% Charging:false,Tue Dec 06 14:09:08 EST 2016,100% Charging:false,14:00
battery,90% Charging:false,Tue Dec 06 14:59:06 EST 2016,90% Charging:false,15:00
battery,90% Charging:false,Tue Dec 06 15:09:07 EST 2016,90% Charging:false,15:00
battery,85% Charging:false,Tue Dec 06 16:29:08 EST 2016,90% Charging:false,16:00
battery,85% Charging:false,Tue Dec 06 16:48:40 EST 2016,90% Charging:false,17:00
battery,80% Charging:false,Tue Dec 06 17:49:07 EST 2016,80% Charging:false,18:00
battery,75% Charging:false,Tue Dec 06 18:59:07 EST 2016,80% Charging:false,19:00
battery,75% Charging:false,Tue Dec 06 19:09:08 EST 2016,80% Charging:false,19:00
battery,70% Charging:false,Tue Dec 06 20:11:01 EST 2016,70% Charging:false,20:00
battery,65% Charging:false,Tue Dec 06 21:29:08 EST 2016,70% Charging:false,21:00
battery,65% Charging:false,Tue Dec 06 21:39:08 EST 2016,70% Charging:false,22:00
battery,60% Charging:false,Tue Dec 06 23:00:01 EST 2016,60% Charging:false,23:00
