battery,55% Charging:false,Tue Apr 11 17:25:49 EDT 2017,60% Charging:false,17:00
battery,50% Charging:false,Tue Apr 11 18:15:05 EDT 2017,50% Charging:false,18:00
battery,45% Charging:false,Tue Apr 11 18:54:29 EDT 2017,50% Charging:false,19:00
battery,40% Charging:false,Tue Apr 11 19:55:49 EDT 2017,40% Charging:false,20:00
battery,35% Charging:false,Tue Apr 11 20:43:11 EDT 2017,40% Charging:false,21:00
battery,30% Charging:false,Tue Apr 11 21:33:11 EDT 2017,30% Charging:false,22:00
battery,25% Charging:false,Tue Apr 11 22:13:14 EDT 2017,30% Charging:false,22:00
battery,15% Charging:false,Tue Apr 11 23:15:48 EDT 2017,20% Charging:false,23:00
battery,30% Charging:true,Tue Apr 11 23:45:53 EDT 2017,30% Charging:true,0:00
battery,35% Charging:true,Tue Apr 11 23:51:54 EDT 2017,40% Charging:true,0:00
battery,40% Charging:true,Tue Apr 11 23:57:53 EDT 2017,40% Charging:true,0:00
