battery,75% Charging:false,Sun Apr 16 15:45:32 EDT 2017,80% Charging:false,16:00
battery,70% Charging:false,Sun Apr 16 16:33:13 EDT 2017,70% Charging:false,17:00
battery,65% Charging:false,Sun Apr 16 17:45:37 EDT 2017,70% Charging:false,18:00
battery,60% Charging:false,Sun Apr 16 18:08:32 EDT 2017,60% Charging:false,18:00
battery,60% Charging:true,Sun Apr 16 18:20:22 EDT 2017,60% Charging:true,18:00
battery,65% Charging:true,Sun Apr 16 18:27:13 EDT 2017,70% Charging:true,18:00
battery,70% Charging:true,Sun Apr 16 18:34:12 EDT 2017,70% Charging:true,19:00
battery,75% Charging:true,Sun Apr 16 18:40:48 EDT 2017,80% Charging:true,19:00
battery,80% Charging:true,Sun Apr 16 18:47:13 EDT 2017,80% Charging:true,19:00
battery,85% Charging:true,Sun Apr 16 18:54:13 EDT 2017,90% Charging:true,19:00
battery,90% Charging:true,Sun Apr 16 19:04:13 EDT 2017,90% Charging:true,19:00
battery,95% Charging:true,Sun Apr 16 19:24:13 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Apr 16 19:29:12 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Apr 16 19:40:08 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 16 19:50:12 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 16 20:00:13 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 16 20:11:13 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 16 20:22:13 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Sun Apr 16 20:32:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 16 20:43:20 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 16 20:54:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 16 21:05:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 16 21:16:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 16 21:28:12 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Sun Apr 16 21:38:12 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 16 21:48:12 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 16 21:58:13 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 16 22:08:13 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 16 22:19:09 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 16 22:29:13 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Sun Apr 16 22:40:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 16 22:51:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 16 23:01:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 16 23:12:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 16 23:22:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Sun Apr 16 23:32:13 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Sun Apr 16 23:42:13 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Sun Apr 16 23:53:12 EDT 2017,100% Charging:true,0:00
