battery,100% Charging:true,Tue Mar 14 11:48:14 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Mar 14 11:59:14 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Mar 14 12:09:41 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Mar 14 12:20:17 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Mar 14 12:30:35 EDT 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Mar 14 12:41:22 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Mar 14 12:52:14 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Mar 14 13:03:14 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Mar 14 13:14:17 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Mar 14 13:25:11 EDT 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Mar 14 13:35:11 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Mar 14 13:46:13 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Mar 14 13:57:11 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Mar 14 14:07:13 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Mar 14 14:18:13 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Mar 14 14:28:13 EDT 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Mar 14 14:39:07 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Mar 14 14:49:09 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Mar 14 14:59:11 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Mar 14 15:10:13 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Mar 14 15:21:18 EDT 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Mar 14 15:32:11 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Mar 14 15:42:17 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Mar 14 15:52:18 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Mar 14 16:03:17 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Mar 14 16:14:14 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Mar 14 16:24:13 EDT 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Mar 14 16:35:02 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Mar 14 16:45:17 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Mar 14 16:57:01 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Mar 14 17:08:13 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Mar 14 17:17:12 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Mar 14 17:27:29 EDT 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Mar 14 17:37:13 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Mar 14 17:48:13 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Mar 14 17:58:13 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Mar 14 18:08:13 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Mar 14 18:18:13 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Mar 14 18:29:25 EDT 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Mar 14 18:39:29 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Mar 14 18:50:12 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Mar 14 19:00:13 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Mar 14 19:10:13 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Mar 14 19:21:13 EDT 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Mar 14 19:31:13 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Mar 14 19:41:13 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Mar 14 19:53:29 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Mar 14 20:02:13 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Mar 14 20:12:13 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Mar 14 20:23:11 EDT 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Mar 14 20:33:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Tue Mar 14 20:43:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Tue Mar 14 20:55:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Tue Mar 14 21:05:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Tue Mar 14 21:19:09 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Tue Mar 14 21:29:13 EDT 2017,100% Charging:true,21:00
battery,100% Charging:true,Tue Mar 14 21:40:12 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Tue Mar 14 21:50:13 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Tue Mar 14 22:01:13 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Tue Mar 14 22:12:13 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Tue Mar 14 22:23:13 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Tue Mar 14 22:34:19 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Tue Mar 14 22:45:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Tue Mar 14 22:56:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Tue Mar 14 23:07:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Tue Mar 14 23:17:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Tue Mar 14 23:28:13 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Tue Mar 14 23:38:13 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Tue Mar 14 23:49:09 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Tue Mar 14 23:59:13 EDT 2017,100% Charging:true,0:00
