battery,100% Charging:true,Wed Mar 01 12:07:20 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Wed Mar 01 12:17:21 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Wed Mar 01 12:28:21 EST 2017,100% Charging:true,12:00
battery,100% Charging:false,Wed Mar 01 12:39:25 EST 2017,100% Charging:false,13:00
battery,100% Charging:false,Wed Mar 01 12:53:23 EST 2017,100% Charging:false,13:00
battery,95% Charging:false,Wed Mar 01 13:40:07 EST 2017,100% Charging:false,14:00
battery,85% Charging:false,Wed Mar 01 14:43:01 EST 2017,90% Charging:false,15:00
battery,80% Charging:false,Wed Mar 01 15:17:27 EST 2017,80% Charging:false,15:00
battery,80% Charging:false,Wed Mar 01 15:29:25 EST 2017,80% Charging:false,15:00
battery,75% Charging:false,Wed Mar 01 16:03:47 EST 2017,80% Charging:false,16:00
battery,70% Charging:false,Wed Mar 01 16:43:43 EST 2017,70% Charging:false,17:00
battery,65% Charging:false,Wed Mar 01 17:26:39 EST 2017,70% Charging:false,17:00
battery,60% Charging:false,Wed Mar 01 18:22:31 EST 2017,60% Charging:false,18:00
battery,55% Charging:false,Wed Mar 01 19:12:35 EST 2017,60% Charging:false,19:00
battery,50% Charging:false,Wed Mar 01 21:22:15 EST 2017,50% Charging:false,21:00
battery,50% Charging:false,Wed Mar 01 21:32:17 EST 2017,50% Charging:false,22:00
battery,45% Charging:false,Wed Mar 01 22:39:03 EST 2017,50% Charging:false,23:00
battery,40% Charging:false,Wed Mar 01 23:38:14 EST 2017,40% Charging:false,0:00
battery,40% Charging:false,Wed Mar 01 23:50:01 EST 2017,40% Charging:false,0:00
