battery,50% Charging:true,Sun Jun 12 00:22:40 EDT 2016,50% Charging:true,0:00
battery,60% Charging:true,Sun Jun 12 00:30:40 EDT 2016,60% Charging:true,0:00
battery,65% Charging:true,Sun Jun 12 00:36:40 EDT 2016,70% Charging:true,1:00
battery,70% Charging:true,Sun Jun 12 00:43:39 EDT 2016,70% Charging:true,1:00
battery,75% Charging:true,Sun Jun 12 00:50:40 EDT 2016,80% Charging:true,1:00
battery,80% Charging:true,Sun Jun 12 00:57:40 EDT 2016,80% Charging:true,1:00
battery,85% Charging:true,Sun Jun 12 01:04:40 EDT 2016,90% Charging:true,1:00
battery,90% Charging:true,Sun Jun 12 01:10:40 EDT 2016,90% Charging:true,1:00
battery,95% Charging:true,Sun Jun 12 01:21:40 EDT 2016,100% Charging:true,1:00
battery,100% Charging:true,Sun Jun 12 01:40:40 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 12 01:51:40 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 12 02:01:40 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 12 02:11:40 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 12 02:22:40 EDT 2016,100% Charging:true,2:00
battery,100% Charging:true,Sun Jun 12 02:33:40 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 12 02:43:40 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 12 02:53:40 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 12 03:04:40 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 12 03:14:40 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 12 03:24:40 EDT 2016,100% Charging:true,3:00
battery,100% Charging:true,Sun Jun 12 03:34:40 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 12 03:45:40 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 12 03:55:40 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 12 04:06:40 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 12 04:16:40 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 12 04:26:40 EDT 2016,100% Charging:true,4:00
battery,100% Charging:true,Sun Jun 12 04:36:40 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 12 04:47:40 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 12 04:57:40 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 12 05:07:40 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 12 05:17:40 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 12 05:27:40 EDT 2016,100% Charging:true,5:00
battery,100% Charging:true,Sun Jun 12 05:38:40 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 12 05:49:40 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 12 05:59:40 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 12 06:09:40 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 12 06:20:40 EDT 2016,100% Charging:true,6:00
battery,100% Charging:true,Sun Jun 12 06:33:40 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 12 06:43:40 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 12 06:54:40 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 12 07:04:40 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 12 07:14:40 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 12 07:24:40 EDT 2016,100% Charging:true,7:00
battery,100% Charging:true,Sun Jun 12 07:35:40 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jun 12 07:45:40 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jun 12 07:56:40 EDT 2016,100% Charging:true,8:00
battery,100% Charging:true,Sun Jun 12 08:06:40 EDT 2016,100% Charging:true,8:00
