battery,50% Charging:true,Tue Feb 21 00:01:37 EST 2017,50% Charging:true,0:00
battery,55% Charging:true,Tue Feb 21 00:07:35 EST 2017,60% Charging:true,0:00
battery,60% Charging:true,Tue Feb 21 00:12:37 EST 2017,60% Charging:true,0:00
battery,65% Charging:true,Tue Feb 21 00:18:36 EST 2017,70% Charging:true,0:00
battery,70% Charging:true,Tue Feb 21 00:23:37 EST 2017,70% Charging:true,0:00
battery,75% Charging:true,Tue Feb 21 00:29:37 EST 2017,80% Charging:true,0:00
battery,80% Charging:true,Tue Feb 21 00:34:37 EST 2017,80% Charging:true,1:00
battery,85% Charging:true,Tue Feb 21 00:43:01 EST 2017,90% Charging:true,1:00
battery,90% Charging:true,Tue Feb 21 00:53:37 EST 2017,90% Charging:true,1:00
battery,95% Charging:true,Tue Feb 21 01:15:01 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Feb 21 01:18:37 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Feb 21 01:29:37 EST 2017,100% Charging:true,1:00
battery,100% Charging:true,Tue Feb 21 01:40:36 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 21 01:50:36 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 21 02:01:35 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 21 02:11:35 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 21 02:21:35 EST 2017,100% Charging:true,2:00
battery,100% Charging:true,Tue Feb 21 02:32:36 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 21 02:42:36 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 21 02:52:36 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 21 03:03:35 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 21 03:13:35 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 21 03:23:35 EST 2017,100% Charging:true,3:00
battery,100% Charging:true,Tue Feb 21 03:33:35 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 21 03:43:35 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 21 03:53:35 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 21 04:03:35 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 21 04:14:35 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 21 04:24:35 EST 2017,100% Charging:true,4:00
battery,100% Charging:true,Tue Feb 21 04:34:35 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 21 04:44:35 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 21 04:54:35 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 21 05:04:35 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 21 05:15:35 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 21 05:25:35 EST 2017,100% Charging:true,5:00
battery,100% Charging:true,Tue Feb 21 05:35:35 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 21 05:45:35 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 21 05:56:35 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 21 06:07:35 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 21 06:18:00 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 21 06:27:36 EST 2017,100% Charging:true,6:00
battery,100% Charging:true,Tue Feb 21 06:37:36 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 21 06:47:36 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 21 06:57:36 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 21 07:08:27 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 21 07:18:29 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 21 07:28:36 EST 2017,100% Charging:true,7:00
battery,100% Charging:true,Tue Feb 21 07:38:36 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 21 07:48:36 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 21 07:58:36 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 21 08:08:36 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 21 08:18:36 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 21 08:28:36 EST 2017,100% Charging:true,8:00
battery,100% Charging:true,Tue Feb 21 08:38:36 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 21 08:48:36 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 21 08:58:36 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 21 09:09:35 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 21 09:19:36 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 21 09:30:01 EST 2017,100% Charging:true,9:00
battery,100% Charging:true,Tue Feb 21 09:38:28 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Feb 21 09:49:45 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Feb 21 10:00:36 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Feb 21 10:10:36 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Feb 21 10:20:47 EST 2017,100% Charging:true,10:00
battery,100% Charging:true,Tue Feb 21 10:31:36 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Tue Feb 21 10:42:35 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Tue Feb 21 10:52:35 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Tue Feb 21 11:02:36 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Tue Feb 21 11:12:36 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Tue Feb 21 11:23:27 EST 2017,100% Charging:true,11:00
battery,100% Charging:true,Tue Feb 21 11:32:36 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Feb 21 11:43:36 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Feb 21 11:54:35 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Feb 21 12:04:36 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Feb 21 12:20:26 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Feb 21 12:30:36 EST 2017,100% Charging:true,12:00
battery,100% Charging:true,Tue Feb 21 12:41:24 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Feb 21 12:50:44 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Feb 21 13:01:52 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Feb 21 13:12:36 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Feb 21 13:24:06 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Tue Feb 21 13:33:36 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Feb 21 13:43:36 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Feb 21 13:54:36 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Feb 21 14:05:36 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Feb 21 14:15:36 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Feb 21 14:26:36 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Tue Feb 21 14:36:36 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Feb 21 14:46:36 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Feb 21 14:57:36 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Feb 21 15:07:36 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Feb 21 15:17:36 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Feb 21 15:28:27 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Tue Feb 21 15:38:28 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Feb 21 15:48:36 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Feb 21 15:59:35 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Feb 21 16:09:36 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Feb 21 16:20:36 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Feb 21 16:30:36 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Tue Feb 21 16:38:28 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Feb 21 16:49:01 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Feb 21 16:58:36 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Feb 21 17:09:36 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Feb 21 17:19:36 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Feb 21 17:30:36 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Tue Feb 21 17:40:36 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Feb 21 17:50:36 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Feb 21 18:00:36 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Feb 21 18:10:36 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Feb 21 18:20:36 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Feb 21 18:30:36 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Tue Feb 21 18:48:27 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Feb 21 18:58:36 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Feb 21 19:09:36 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Feb 21 19:19:36 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Feb 21 19:30:35 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Tue Feb 21 19:41:01 EST 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Feb 21 19:52:09 EST 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Feb 21 20:08:28 EST 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Feb 21 20:20:18 EST 2017,100% Charging:true,20:00
battery,100% Charging:true,Tue Feb 21 20:30:01 EST 2017,100% Charging:true,20:00
