battery,85% Charging:false,Sat May 13 14:43:51 EDT 2017,90% Charging:false,15:00
battery,85% Charging:false,Sat May 13 14:58:49 EDT 2017,90% Charging:false,15:00
battery,80% Charging:false,Sat May 13 16:03:51 EDT 2017,80% Charging:false,16:00
battery,75% Charging:false,Sat May 13 16:46:17 EDT 2017,80% Charging:false,17:00
battery,70% Charging:false,Sat May 13 17:33:51 EDT 2017,70% Charging:false,18:00
battery,65% Charging:false,Sat May 13 18:43:50 EDT 2017,70% Charging:false,19:00
battery,60% Charging:false,Sat May 13 19:53:49 EDT 2017,60% Charging:false,20:00
battery,55% Charging:false,Sat May 13 20:53:50 EDT 2017,60% Charging:false,21:00
battery,50% Charging:false,Sat May 13 21:23:50 EDT 2017,50% Charging:false,21:00
battery,45% Charging:false,Sat May 13 22:03:50 EDT 2017,50% Charging:false,22:00
battery,40% Charging:false,Sat May 13 22:53:50 EDT 2017,40% Charging:false,23:00
battery,30% Charging:false,Sat May 13 23:35:11 EDT 2017,30% Charging:false,0:00
battery,35% Charging:true,Sat May 13 23:40:36 EDT 2017,40% Charging:true,0:00
battery,40% Charging:true,Sat May 13 23:45:37 EDT 2017,40% Charging:true,0:00
battery,45% Charging:true,Sat May 13 23:51:37 EDT 2017,50% Charging:true,0:00
battery,50% Charging:true,Sat May 13 23:57:37 EDT 2017,50% Charging:true,0:00
