battery,40% Charging:true,Wed Mar 29 00:06:04 EDT 2017,40% Charging:true,0:00
battery,45% Charging:true,Wed Mar 29 00:11:08 EDT 2017,50% Charging:true,0:00
battery,50% Charging:true,Wed Mar 29 00:16:09 EDT 2017,50% Charging:true,0:00
battery,55% Charging:true,Wed Mar 29 00:22:09 EDT 2017,60% Charging:true,0:00
battery,60% Charging:true,Wed Mar 29 00:28:09 EDT 2017,60% Charging:true,0:00
battery,65% Charging:true,Wed Mar 29 00:34:09 EDT 2017,70% Charging:true,1:00
battery,70% Charging:true,Wed Mar 29 00:40:08 EDT 2017,70% Charging:true,1:00
battery,75% Charging:true,Wed Mar 29 00:46:08 EDT 2017,80% Charging:true,1:00
battery,80% Charging:true,Wed Mar 29 00:52:08 EDT 2017,80% Charging:true,1:00
battery,85% Charging:true,Wed Mar 29 01:00:08 EDT 2017,90% Charging:true,1:00
battery,90% Charging:true,Wed Mar 29 01:14:08 EDT 2017,90% Charging:true,1:00
battery,100% Charging:true,Wed Mar 29 01:32:08 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 29 01:42:55 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 29 01:53:08 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 29 02:03:09 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 29 02:13:09 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 29 02:24:05 EDT 2017,100% Charging:true,2:00
battery,100% Charging:true,Wed Mar 29 02:34:08 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 29 02:44:53 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 29 02:55:09 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 29 03:05:09 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 29 03:15:09 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 29 03:25:09 EDT 2017,100% Charging:true,3:00
battery,100% Charging:true,Wed Mar 29 03:36:08 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 29 03:46:09 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 29 03:56:09 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 29 04:07:09 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 29 04:17:09 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 29 04:27:09 EDT 2017,100% Charging:true,4:00
battery,100% Charging:true,Wed Mar 29 04:37:09 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 29 04:48:09 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 29 04:58:09 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 29 05:09:09 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 29 05:20:09 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 29 05:30:09 EDT 2017,100% Charging:true,5:00
battery,100% Charging:true,Wed Mar 29 05:40:09 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 29 05:51:09 EDT 2017,100% Charging:true,6:00
battery,100% Charging:true,Wed Mar 29 06:01:09 EDT 2017,100% Charging:true,6:00
