battery,100% Charging:true,Sun Feb 19 12:38:51 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 19 12:48:53 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 19 13:00:01 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 19 13:10:51 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 19 13:20:51 EST 2017,100% Charging:true,13:00
battery,100% Charging:true,Sun Feb 19 13:32:51 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 19 13:42:51 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 19 13:53:51 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 19 14:03:51 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 19 14:13:51 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 19 14:24:51 EST 2017,100% Charging:true,14:00
battery,100% Charging:true,Sun Feb 19 14:34:51 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 19 14:45:51 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 19 14:55:51 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 19 15:06:51 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 19 15:16:51 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 19 15:26:51 EST 2017,100% Charging:true,15:00
battery,100% Charging:true,Sun Feb 19 15:37:50 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 19 15:48:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 19 15:58:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 19 16:09:03 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 19 16:19:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 19 16:29:51 EST 2017,100% Charging:true,16:00
battery,100% Charging:true,Sun Feb 19 16:40:51 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 19 16:50:53 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 19 16:58:53 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 19 17:09:18 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 19 17:20:51 EST 2017,100% Charging:true,17:00
battery,100% Charging:true,Sun Feb 19 17:31:51 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 19 17:42:01 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 19 17:52:51 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 19 18:04:00 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 19 18:14:17 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 19 18:23:51 EST 2017,100% Charging:true,18:00
battery,100% Charging:true,Sun Feb 19 18:33:51 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Feb 19 18:43:51 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Feb 19 18:53:51 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Feb 19 19:03:51 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Feb 19 19:14:51 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Feb 19 19:24:51 EST 2017,100% Charging:true,19:00
battery,100% Charging:true,Sun Feb 19 19:34:51 EST 2017,100% Charging:true,20:00
battery,100% Charging:false,Sun Feb 19 19:45:14 EST 2017,100% Charging:false,20:00
battery,95% Charging:false,Sun Feb 19 20:20:24 EST 2017,100% Charging:false,20:00
battery,90% Charging:false,Sun Feb 19 21:32:54 EST 2017,90% Charging:false,22:00
battery,85% Charging:false,Sun Feb 19 23:42:51 EST 2017,90% Charging:false,0:00
battery,85% Charging:false,Sun Feb 19 23:52:52 EST 2017,90% Charging:false,0:00
