battery,90% Charging:false,Thu Mar 23 13:19:08 EDT 2017,90% Charging:false,13:00
battery,85% Charging:false,Thu Mar 23 15:26:27 EDT 2017,90% Charging:false,15:00
battery,85% Charging:false,Thu Mar 23 15:37:02 EDT 2017,90% Charging:false,16:00
battery,80% Charging:false,Thu Mar 23 18:16:03 EDT 2017,80% Charging:false,18:00
battery,80% Charging:false,Thu Mar 23 18:28:12 EDT 2017,80% Charging:false,18:00
battery,75% Charging:false,Thu Mar 23 20:07:01 EDT 2017,80% Charging:false,20:00
battery,75% Charging:false,Thu Mar 23 20:18:22 EDT 2017,80% Charging:false,20:00
battery,75% Charging:true,Thu Mar 23 21:31:22 EDT 2017,80% Charging:true,22:00
battery,80% Charging:true,Thu Mar 23 21:37:21 EDT 2017,80% Charging:true,22:00
battery,85% Charging:true,Thu Mar 23 21:43:27 EDT 2017,90% Charging:true,22:00
battery,90% Charging:true,Thu Mar 23 21:53:22 EDT 2017,90% Charging:true,22:00
battery,95% Charging:true,Thu Mar 23 22:10:21 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Thu Mar 23 22:20:21 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Thu Mar 23 22:30:22 EDT 2017,100% Charging:true,22:00
battery,100% Charging:true,Thu Mar 23 22:40:22 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Thu Mar 23 22:50:40 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Thu Mar 23 23:01:22 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Thu Mar 23 23:11:44 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Thu Mar 23 23:22:21 EDT 2017,100% Charging:true,23:00
battery,100% Charging:true,Thu Mar 23 23:32:22 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Thu Mar 23 23:43:22 EDT 2017,100% Charging:true,0:00
battery,100% Charging:true,Thu Mar 23 23:54:22 EDT 2017,100% Charging:true,0:00
