battery,90% Charging:false,Wed Apr 26 13:58:54 EDT 2017,90% Charging:false,14:00
battery,85% Charging:false,Wed Apr 26 14:58:54 EDT 2017,90% Charging:false,15:00
battery,80% Charging:false,Wed Apr 26 15:58:53 EDT 2017,80% Charging:false,16:00
battery,75% Charging:false,Wed Apr 26 16:58:55 EDT 2017,80% Charging:false,17:00
battery,75% Charging:false,Wed Apr 26 17:12:46 EDT 2017,80% Charging:false,17:00
battery,70% Charging:false,Wed Apr 26 18:03:53 EDT 2017,70% Charging:false,18:00
battery,65% Charging:false,Wed Apr 26 18:58:54 EDT 2017,70% Charging:false,19:00
battery,65% Charging:false,Wed Apr 26 19:12:46 EDT 2017,70% Charging:false,19:00
battery,60% Charging:false,Wed Apr 26 20:08:13 EDT 2017,60% Charging:false,20:00
battery,55% Charging:false,Wed Apr 26 21:16:09 EDT 2017,60% Charging:false,21:00
battery,50% Charging:false,Wed Apr 26 21:48:54 EDT 2017,50% Charging:false,22:00
battery,45% Charging:false,Wed Apr 26 22:28:45 EDT 2017,50% Charging:false,22:00
battery,40% Charging:true,Wed Apr 26 23:06:52 EDT 2017,40% Charging:true,23:00
battery,45% Charging:true,Wed Apr 26 23:11:53 EDT 2017,50% Charging:true,23:00
battery,50% Charging:true,Wed Apr 26 23:17:52 EDT 2017,50% Charging:true,23:00
battery,55% Charging:true,Wed Apr 26 23:23:53 EDT 2017,60% Charging:true,23:00
battery,60% Charging:true,Wed Apr 26 23:29:52 EDT 2017,60% Charging:true,23:00
battery,65% Charging:true,Wed Apr 26 23:35:53 EDT 2017,70% Charging:true,0:00
battery,70% Charging:true,Wed Apr 26 23:41:52 EDT 2017,70% Charging:true,0:00
battery,75% Charging:true,Wed Apr 26 23:47:53 EDT 2017,80% Charging:true,0:00
battery,80% Charging:true,Wed Apr 26 23:53:52 EDT 2017,80% Charging:true,0:00
